"Date","Price","Open","High","Low","Vol.","Change %"
"02/13/2023","103.07","102.34","103.13","102.16","5.78M","0.91%"
"02/10/2023","102.14","101.19","102.22","101.08","7.71M","0.71%"
"02/09/2023","101.42","102.84","103.08","101.14","8.88M","-0.90%"
"02/08/2023","102.34","102.39","102.83","102.00","7.43M","-0.56%"
"02/07/2023","102.92","102.30","103.18","101.25","10.95M","0.31%"
"02/06/2023","102.60","102.35","102.99","102.18","10.26M","-0.24%"
"02/03/2023","102.85","102.72","103.70","102.58","13.57M","-0.52%"
"02/02/2023","103.39","102.97","103.99","102.33","13.46M","0.78%"
"02/01/2023","102.59","101.44","103.32","100.98","16.67M","0.73%"
"01/31/2023","101.85","100.45","101.88","100.09","10.37M","1.70%"
"01/30/2023","100.15","100.51","101.49","100.07","10.06M","-0.98%"
"01/27/2023","101.14","100.50","101.61","100.42","14.19M","0.42%"
"01/26/2023","100.72","100.88","100.88","99.47","14.99M","0.55%"
"01/25/2023","100.17","99.63","100.43","98.79","11.73M","-0.56%"
"01/24/2023","100.73","99.51","101.03","98.99","11.34M","0.66%"
"01/23/2023","100.07","99.30","100.61","98.88","11.11M","1.09%"
"01/20/2023","98.99","97.71","99.02","97.31","12.82M","1.39%"
"01/19/2023","97.63","99.07","99.32","97.62","17.16M","-2.06%"
"01/18/2023","99.68","101.94","102.17","99.62","15.03M","-1.88%"
"01/17/2023","101.59","102.40","102.54","101.48","9.28M","-0.85%"
"01/13/2023","102.46","101.71","102.54","101.45","14.21M","-0.12%"
"01/12/2023","102.58","102.35","102.98","101.49","9.88M","0.59%"
"01/11/2023","101.98","101.60","102.00","101.04","7.40M","0.96%"
"01/10/2023","101.01","100.13","101.07","100.07","9.17M","0.55%"
"01/09/2023","100.46","101.16","102.07","100.32","12.85M","-0.45%"
"01/06/2023","100.91","99.21","101.19","99.03","16.27M","2.74%"
"01/05/2023","98.22","98.73","98.96","97.95","9.65M","-1.08%"
"01/04/2023","99.29","98.74","99.61","98.52","12.24M","0.88%"
"01/03/2023","98.42","98.78","98.94","97.51","11.41M","0.21%"
"12/30/2022","98.21","98.01","98.39","97.29","6.87M","-0.40%"
"12/29/2022","98.60","97.85","98.90","97.77","8.31M","1.23%"
"12/28/2022","97.40","98.87","99.10","97.38","6.80M","-1.31%"
"12/27/2022","98.69","98.54","99.18","98.16","5.21M","0.30%"
"12/23/2022","98.39","97.80","98.53","97.37","6.14M","0.59%"
